"restName"	"Address"	"Phone"	"webSite"	"openingDays"	"Takes_Reservations"	"Delivery"	"Take_out"	"Accepts_Credit_Cards"	"Accepts_Apple_Pay"	"Accepts_Android_Pay"	"Accepts_Bitcoin"	"Good_For"	"Parking"	"Bike_Parking"	"Good_for_Kids"	"Good_for_Groups"	"Attire"	"Ambience"	"Noise_Level"	"Alcohol"	"Outdoor_Seating"	"Wi_Fi"	"Has_TV"	"Good_for_Kids.1"	"Caters"	"Gender_Neutral_Restrooms"	"ContactPage"	"CustomerEmail"
"Akiko’s Restaurant"	"431 Bush StSan Francisco, CA 94108"	"(415) 397-3218"	"http://akikosrestaurant.com"	" Mon , 11:30 am - 2:30 pm5:30 pm - 9:00 pm Tue , 11:30 am - 2:30 pm5:30 pm - 9:00 pm Wed , 11:30 am - 2:30 pm5:30 pm - 9:00 pm Thu , 11:30 am - 2:30 pm5:30 pm - 9:00 pm Fri , 11:30 am - 2:30 pm5:30 pm - 9:00 pm Sat , 5:30 pm - 9:00 pm Sun , Closed"	"Yes"	"No"	"No"	"Yes"	"No"	"No"	"No"	"Dinner"	"Street"	"No"	"No"	"No"	"Casual"	NA	"Average"	"Beer & Wine Only"	"No"	"No"	"No"	"No"	"No"	"Yes"	"http://akikosrestaurant.com/contact/"	NA
"Akira Japanese Restaurant"	"1634 Bush StSan Francisco, CA 94109"	"(415) 800-8498"	"http://akirasf.com"	" Mon , 11:30 am - 2:30 pm5:00 pm - 10:00 pm Tue , 11:30 am - 2:30 pm5:00 pm - 10:00 pm Wed , 11:30 am - 2:30 pm5:00 pm - 10:00 pm Thu , 11:30 am - 2:30 pm5:00 pm - 10:00 pm Fri , 11:30 am - 2:30 pm5:00 pm - 10:30 pm Sat , 5:00 pm - 10:30 pm Sun , Closed"	"Yes"	"No"	"Yes"	"Yes"	"No"	NA	NA	"Lunch, Dinner"	"Street"	"No"	"No"	"Yes"	"Casual"	"Casual"	"Average"	"Beer & Wine Only"	"No"	"No"	"No"	"No"	"No"	"Yes"	"http://akirasf.com/menu.html"	NA
"1428 HAIGHT Patio Cafe & Crepery"	"1428 Haight StSan Francisco, CA 94117"	"(415) 864-8484"	"http://1428haight.com"	" Mon , 8:00 am - 10:00 pm Tue , 8:00 am - 10:00 pm Wed , 8:00 am - 10:00 pm Thu , 8:00 am - 10:00 pm Fri , 8:00 am - 10:00 pm Sat , 8:00 am - 10:00 pm Sun , 8:00 am - 10:00 pm"	"No"	"Yes"	"Yes"	"Yes"	"No"	NA	NA	"Breakfast, Brunch, Lunch"	"Street"	"Yes"	"Yes"	"Yes"	"Casual"	"Casual"	"Average"	"Beer & Wine Only"	"Yes"	"Free"	"Yes"	"Yes"	"No"	"Yes"	"http://1428haight.com/contact/"	NA
"A K Meats"	"2346 Clement StSan Francisco, CA 94121"	"(415) 933-6328"	NA	" Mon , 9:00 am - 7:00 pm Tue , 9:00 am - 7:00 pm Wed , 9:00 am - 7:00 pm Thu , 9:00 am - 7:00 pm Fri , 9:00 am - 7:00 pm Sat , 9:00 am - 7:00 pm Sun , 9:00 am - 7:00 pm"	"No"	"No"	"Yes"	"Yes"	NA	NA	NA	"Lunch"	"Street"	"Yes"	"Yes"	"No"	"Casual"	"Casual"	"Quiet"	"No"	"Yes"	"No"	"No"	"Yes"	"Yes"	"Yes"	NA	NA
"AK Subs"	"397 8th StSan Francisco, CA 94103"	NA	NA	" Mon , 6:30 am - 4:00 pm Tue , 6:30 am - 4:00 pm Wed , 6:30 am - 4:00 pm Thu , 6:30 am - 4:00 pm Fri , 6:30 am - 4:00 pm Sat , Closed Sun , Closed"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Alamo Square Market & Deli"	"535 Scott StSan Francisco, CA 94117"	"(415) 861-7120"	NA	" Mon , 8:00 am - 9:00 pm Tue , 8:00 am - 9:00 pm Wed , 8:00 am - 9:00 pm Thu , 8:00 am - 9:00 pm Fri , 8:00 am - 10:00 pm Sat , 9:00 am - 10:00 pm Sun , 9:00 am - 9:00 pm"	"No"	"No"	"Yes"	"Yes"	"No"	NA	NA	NA	"Street"	"No"	"Yes"	"No"	"Casual"	"Casual"	"Quiet"	"Beer & Wine Only"	"Yes"	"No"	"No"	"Yes"	"No"	NA	NA	NA
"Alamo Square Seafood Grill"	"803 Fillmore StSan Francisco, CA 94117"	"(415) 440-2828"	"http://alamosquareseafoodgrill.com"	" Mon , 5:30 pm - 10:00 pm Tue , 5:30 pm - 10:00 pm Wed , 5:30 pm - 10:00 pm Thu , 5:30 pm - 10:00 pm Fri , 5:30 pm - 10:00 pm Sat , 5:30 pm - 10:00 pm Sun , 5:00 pm - 9:00 pm"	"Yes"	"No"	"Yes"	"Yes"	"No"	NA	NA	"Dinner"	"Street"	"Yes"	"No"	"Yes"	"Casual"	"Intimate"	"Average"	"Beer & Wine Only"	"No"	"No"	"No"	"No"	"No"	"Yes"	"http://www.squarespace.com"	NA
"A La Turca Restaurant"	"869 Geary StSan Francisco, CA 94109"	"(415) 345-1011"	"http://alaturcasf.com"	" Mon , 11:00 am - 10:00 pm Tue , 11:00 am - 10:00 pm Wed , 11:00 am - 10:00 pm Thu , 11:00 am - 10:00 pm Fri , 11:00 am - 11:00 pm Sat , 11:00 am - 11:00 pm Sun , 11:00 am - 10:00 pm"	"Yes"	"No"	"Yes"	"Yes"	"No"	NA	NA	"Lunch, Dinner"	"Street"	"Yes"	"Yes"	"Yes"	"Casual"	"Casual"	"Average"	"Beer & Wine Only"	"No"	"No"	"Yes"	"Yes"	"Yes"	NA	"http://alaturcasf.comcontact.html"	NA
"Alba Ray’s"	"2293 Mission StSan Francisco, CA 94110"	"(415) 872-9409"	"http://albarays.com"	" Mon , 5:30 pm - 11:00 pm Tue , 5:30 pm - 11:00 pm Wed , 11:00 am - 11:00 pm Thu , 11:00 am - 11:00 pm Fri , 11:00 am - 12:00 am Sat , 10:00 am - 12:00 am Sun , 10:00 am - 11:00 pm"	"Yes"	"No"	"Yes"	"Yes"	"No"	"No"	NA	"Dinner"	"Street"	"Yes"	"No"	"Yes"	"Casual"	"Trendy"	"Average"	"Full Bar"	"No"	"No"	"No"	"No"	"Yes"	"Yes"	"http://www.jaredjgraham.com"	NA
"Albona Ristorante Istriano"	"545 Francisco StSan Francisco, CA 94133"	"(415) 441-1040"	"http://albonarestaurant.com"	" Mon , Closed Tue , 5:00 pm - 10:00 pm Wed , 5:00 pm - 10:00 pm Thu , 5:00 pm - 10:00 pm Fri , 5:00 pm - 10:00 pm Sat , 5:00 pm - 10:00 pm Sun , 5:00 pm - 9:00 pm"	"Yes"	"No"	"Yes"	"Yes"	"No"	NA	NA	"Dinner"	"Street, Private Lot"	"No"	"No"	"Yes"	"Casual"	"Intimate"	"Quiet"	"Beer & Wine Only"	"No"	"No"	"No"	"No"	"No"	NA	"http://albonarestaurant.comparties.html"	NA
"Alegrias"	"2018 Lombard StSan Francisco, CA 94123"	"(415) 929-8888"	"http://alegriassf.com"	" Mon , Closed Tue , Closed Wed , 5:30 pm - 9:30 pm Thu , 5:30 pm - 9:30 pm Fri , 5:30 pm - 10:30 pm Sat , 5:30 pm - 10:30 pm Sun , 5:30 pm - 9:30 pm"	"Yes"	"No"	"Yes"	"Yes"	"No"	NA	NA	"Dinner"	"Street"	"No"	"No"	"Yes"	"Casual"	"Intimate, Romantic"	"Average"	"Beer & Wine Only"	"No"	"No"	"No"	"No"	"No"	"Yes"	"http://alegriassf.com/#contact-us-section"	"mailto:info@alegriassf.com"
"Alexander’s Steakhouse"	"448 Brannan StSan Francsico, CA 94107"	"(415) 495-1111"	"http://alexanderssteakhouse.com"	" Mon , 5:30 pm - 9:00 pm Tue , 5:30 pm - 9:00 pm Wed , 5:30 pm - 9:00 pm Thu , 5:30 pm - 9:00 pm Fri , 5:30 pm - 10:00 pm Sat , 5:30 pm - 10:00 pm Sun , 5:30 pm - 9:00 pm"	"Yes"	"No"	"No"	"Yes"	"No"	"No"	"No"	"Dinner"	"Valet, Street"	"Yes"	"No"	"Yes"	"Dressy"	"Classy, Upscale"	"Average"	"Full Bar"	"No"	"Free"	"No"	"No"	"No"	NA	"http://www.theseausa.com"	NA
"Alfaro Catering"	"332 Valencia StSan Francisco, CA 94103"	"(415) 850-4247"	"http://alfaro-catering.com"	" Mon , 10:00 am - 8:00 pm Tue , 10:00 am - 8:00 pm Wed , 10:00 am - 8:00 pm Thu , 10:00 am - 8:00 pm Fri , 10:00 am - 8:00 pm Sat , 10:00 am - 8:00 pm Sun , Closed"	"No"	"No"	"Yes"	"Yes"	NA	NA	NA	"Lunch"	"Street"	"Yes"	"Yes"	"Yes"	"Casual"	NA	"Average"	"No"	"No"	"No"	"No"	"Yes"	"Yes"	NA	"mailto:info@alfaro-catering.com"	NA
"1601 Bar & Kitchen"	"1601 Howard StSan Francisco, CA 94103"	"(415) 552-1601"	"http://1601sf.com"	" Mon , Closed Tue , 5:30 pm - 9:30 pm Wed , 5:30 pm - 9:30 pm Thu , 5:30 pm - 9:30 pm Fri , 5:30 pm - 10:00 pm Sat , 5:30 pm - 10:00 pm Sun , Closed"	"Yes"	"No"	"Yes"	"Yes"	"No"	NA	"No"	NA	"Garage, Street"	"Yes"	"No"	"Yes"	"Casual"	"Trendy"	"Average"	"Beer & Wine Only"	"No"	"Free"	"No"	"No"	"No"	"Yes"	"https://1601sf.com/contact/"	NA
"Alimento"	"507 Columbus AveSan Francisco, CA 94133"	"(415) 296-9463"	"http://alimentosf.com"	" Mon , 9:00 am - 11:45 pm Tue , 9:00 am - 11:45 pm Wed , 9:00 am - 11:45 pm Thu , 9:00 am - 11:45 pm Fri , 9:00 am - 11:45 pm Sat , 9:00 am - 11:45 pm Sun , 9:00 am - 11:45 pm"	"No"	"No"	"Yes"	"Yes"	"Yes"	NA	NA	"Lunch"	"Street"	"Yes"	"Yes"	"Yes"	"Casual"	"Casual"	"Average"	"No"	"Yes"	"Free"	"Yes"	"Yes"	"Yes"	"Yes"	"http://alimentosf.com"	NA
"Allegro Romano"	"1701 Jones StSan Francisco, CA 94109"	"(415) 928-4002"	"http://allegroromano.com"	" Mon , 5:30 pm - 9:30 pm Tue , 5:30 pm - 9:30 pm Wed , 5:30 pm - 9:30 pm Thu , 5:00 pm - 9:30 pm Fri , 5:00 pm - 9:30 pm Sat , 5:00 pm - 9:30 pm Sun , Closed"	"Yes"	"No"	"Yes"	"Yes"	"No"	NA	NA	"Dinner"	"Valet"	"Yes"	"No"	"No"	"Dressy"	"Intimate, Romantic"	"Average"	"Beer & Wine Only"	"No"	"No"	"No"	"No"	"No"	"Yes"	"http://allegroromano.com"	NA
"All Good Pizza"	"1605 Jerrold AveSan Francisco, CA 94124"	NA	NA	" Mon , 10:30 am - 5:00 pm Tue , 10:30 am - 5:00 pm Wed , 10:30 am - 5:00 pm Thu , 10:30 am - 5:00 pm Fri , 10:30 am - 5:00 pm Sat , 11:00 am - 6:00 pm Sun , 11:00 am - 6:00 pm"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"All Star Cafe"	"98 9th StSan Francisco, CA 94103"	"(415) 863-4949"	NA	" Mon , 5:00 am - 6:00 pm Tue , 5:00 am - 6:00 pm Wed , 5:00 am - 6:00 pm Thu , 5:00 am - 6:00 pm Fri , 5:00 am - 6:00 pm Sat , 6:00 am - 6:00 pm Sun , 6:00 am - 6:00 pm"	"No"	"Yes"	"Yes"	"Yes"	"No"	"No"	NA	"Breakfast, Brunch, Lunch"	"Street"	"No"	"Yes"	"Yes"	"Casual"	"Casual"	"Average"	"No"	"No"	"Free"	"Yes"	"Yes"	"Yes"	"Yes"	NA	NA
"Doña Mago"	"301 S Van Ness AveSan Francisco, CA 94103"	"(415) 573-8586"	"donamagomexicanrestaurant.wee…"	" Mon , 9:00 am - 8:00 pm Tue , 9:00 am - 8:00 pm Wed , 9:00 am - 8:00 pm Thu , 9:00 am - 8:00 pm Fri , 9:00 am - 8:00 pm Sat , 9:00 am - 8:00 pm Sun , 9:00 am - 6:00 pm"	"No"	"No"	"Yes"	"Yes"	NA	NA	NA	"Breakfast, Brunch, Lunch, Dinner"	"Street"	"Yes"	"Yes"	"Yes"	"Casual"	"Casual"	"Average"	"No"	"No"	"No"	"Yes"	"Yes"	"No"	NA	NA	NA
"El Toro Taqueria"	"598 Valencia StSan Francisco, CA 94110"	"(415) 431-3351"	"sfeltoro.com"	" Mon , 10:00 am - 10:00 pm Tue , 10:00 am - 10:00 pm Wed , 10:00 am - 10:00 pm Thu , 10:00 am - 10:00 pm Fri , 10:00 am - 10:00 pm Sat , 10:00 am - 10:00 pm Sun , 10:00 am - 10:00 pm"	"No"	"Yes"	"Yes"	"Yes"	"No"	"No"	"No"	"Lunch, Dinner"	"Street"	"Yes"	"Yes"	"Yes"	"Casual"	"Casual"	"Average"	"Beer & Wine Only"	"No"	"Free"	"No"	"Yes"	"Yes"	"Yes"	NA	NA
"Gestalt Haus"	"3159 16th StSan Francisco, CA 94110"	"(415) 655-9935"	"gestalt.haus"	" Mon , 12:00 pm - 1:00 am Tue , 12:00 pm - 1:00 am Wed , 12:00 pm - 1:00 am Thu , 12:00 pm - 2:00 am Fri , 12:00 pm - 2:00 am Sat , 12:00 pm - 2:00 am Sun , 12:00 pm - 1:00 am"	"No"	"No"	"No"	"No"	"No"	"No"	NA	"Late Night"	"Street"	"Yes"	"No"	"Yes"	"Casual"	"Hipster"	"Loud"	"Beer & Wine Only"	"No"	"No"	"Yes"	"No"	"No"	"Yes"	NA	NA
"Grandma’s Deli & Cafe"	"1551 Mission StSan Francisco, CA 94103"	"(415) 252-0759"	"grandmasdeliandcafe.eat24hour…"	" Mon , 7:30 am - 3:30 pm Tue , 7:30 am - 3:30 pm Wed , 7:30 am - 3:30 pm Thu , 7:30 am - 3:30 pm Fri , 7:30 am - 3:00 pm Sat , Closed Sun , Closed"	"No"	"No"	"Yes"	"Yes"	"Yes"	NA	NA	"Breakfast, Lunch"	"Street"	"Yes"	"Yes"	"Yes"	"Casual"	"Casual"	"Average"	"No"	"No"	"Free"	"Yes"	"Yes"	"No"	"Yes"	NA	NA
"Ho’s Bootleg Tavern"	"2360 Van Ness AveSan Francisco, CA 94109"	"(415) 872-7773"	"hostavern.com"	" Mon , 5:00 pm - 9:30 pm Tue , 5:00 pm - 2:00 am Wed , 5:00 pm - 2:00 am Thu , 5:00 pm - 2:00 am Fri , 5:00 pm - 2:00 am Sat , 12:00 pm - 2:00 am Sun , 12:00 pm - 12:00 am"	"Yes"	"No"	"Yes"	"Yes"	"No"	NA	NA	"Brunch, Dinner, Late Night"	"Street"	"Yes"	"No"	"Yes"	"Casual"	"Casual"	"Average"	"Full Bar"	"No"	"Free"	"Yes"	"No"	"No"	"Yes"	NA	NA
"Amitis Café"	"800 Masonic AveSan Francisco, CA 94117"	"(415) 563-2828"	"amitiscafe117.wixsite.com/ami…"	" Mon , 10:00 am - 6:30 pm Tue , 10:00 am - 6:30 pm Wed , 10:00 am - 6:30 pm Thu , 10:00 am - 6:30 pm Fri , 10:00 am - 3:00 pm Sat , 10:00 am - 3:00 pm Sun , Closed"	"No"	"No"	"Yes"	"Yes"	"Yes"	"No"	NA	"Lunch"	"Street"	"Yes"	"Yes"	"Yes"	"Casual"	"Casual"	"Quiet"	"No"	"Yes"	"Free"	"No"	"Yes"	"Yes"	"Yes"	NA	NA
"Juice Shop"	"432 Octavia StSan Francisco, CA 94102"	"(415) 757-0696"	"juiceshop.com"	" Mon , 7:00 am - 7:00 pm Tue , 7:00 am - 7:00 pm Wed , 7:00 am - 7:00 pm Thu , 7:00 am - 7:00 pm Fri , 7:00 am - 7:00 pm Sat , 8:00 am - 7:00 pm Sun , 8:00 am - 7:00 pm"	"No"	"Yes"	"Yes"	"Yes"	NA	NA	"No"	NA	"Street"	"Yes"	"Yes"	"Yes"	"Casual"	NA	NA	"No"	"Yes"	"No"	"No"	"Yes"	"No"	NA	NA	NA
"Kabuto Restaurant"	"5121 Geary BlvdSan Francisco, CA 94118"	"(415) 752-5652"	"kabutosushi.com"	" Mon , Closed Tue , 11:30 am - 2:30 pm5:30 pm - 10:30 pm Wed , 11:30 am - 2:30 pm5:30 pm - 10:30 pm Thu , 11:30 am - 2:30 pm5:30 pm - 10:30 pm Fri , 11:30 am - 2:30 pm5:30 pm - 10:30 pm Sat , 11:30 am - 2:30 pm5:30 pm - 10:30 pm Sun , 5:00 pm - 9:30 pm"	"Yes"	"No"	"Yes"	"Yes"	"No"	NA	NA	"Dinner"	"Street"	"Yes"	"No"	"No"	"Casual"	"Casual"	"Average"	"Beer & Wine Only"	"No"	"No"	"No"	"No"	"No"	"Yes"	NA	NA
"Kezar Pub"	"770 Stanyan StSan Francisco, CA 94117"	"(415) 386-9292"	"thekezarpub.com"	" Mon , 11:30 am - 12:00 am Tue , 11:30 am - 2:00 am Wed , 11:30 am - 2:00 am Thu , 11:30 am - 2:00 am Fri , 11:30 am - 2:00 am Sat , 6:00 am - 2:00 am Sun , 6:00 am - 2:00 am"	"No"	"No"	"Yes"	"Yes"	"No"	NA	NA	"Lunch, Late Night"	"Street"	"Yes"	"No"	"Yes"	"Casual"	"Casual"	"Average"	"Full Bar"	"No"	"Free"	"Yes"	"No"	"No"	NA	NA	NA
"Long Bridge Pizza"	"2347 3rd StSan Francisco, CA 94107"	"(415) 829-8999"	"longbridgepizza.com"	" Mon , 11:00 am - 9:00 pm Tue , 11:00 am - 9:00 pm Wed , 11:00 am - 9:00 pm Thu , 11:00 am - 10:00 pm Fri , 11:00 am - 10:00 pm Sat , 12:00 pm - 10:00 pm Sun , 12:00 pm - 9:00 pm"	"No"	"No"	"Yes"	"Yes"	"Yes"	"No"	"No"	"Lunch, Dinner"	"Street"	"Yes"	"Yes"	"Yes"	"Casual"	"Hipster, Casual"	"Average"	"Beer & Wine Only"	"No"	"No"	"No"	"Yes"	"Yes"	"Yes"	NA	NA
"Loving Hut"	"524 Irving StSan Francisco, CA 94122"	"(415) 731-1957"	"lovinghut.us/sanfrancisco_03/…"	" Mon , 11:00 am - 9:00 pm Tue , 11:00 am - 9:00 pm Wed , 11:00 am - 9:00 pm Thu , 11:00 am - 9:00 pm Fri , 11:00 am - 9:00 pm Sat , 11:00 am - 9:00 pm Sun , 11:00 am - 9:00 pm"	"No"	"Yes"	"Yes"	"Yes"	"No"	"No"	NA	"Lunch, Dinner"	"Street"	"Yes"	"Yes"	"Yes"	"Casual"	"Casual"	"Quiet"	"No"	"No"	"No"	"Yes"	"Yes"	"No"	NA	NA	NA
"Arinell Pizza"	"509 Valencia StSan Francisco, CA 94110"	"(415) 255-1303"	"arinell-pizza.com"	" Mon , 11:30 am - 10:00 pm Tue , 11:30 am - 10:00 pm Wed , 11:30 am - 12:00 am Thu , 11:30 am - 12:00 am Fri , 11:30 am - 2:00 am Sat , 11:30 am - 2:00 am Sun , 12:00 pm - 10:00 pm"	"No"	"No"	"Yes"	"No"	"No"	"No"	NA	"Lunch, Late Night"	"Street"	"Yes"	"Yes"	"No"	"Casual"	NA	"Average"	"No"	"No"	"No"	"No"	"Yes"	"No"	NA	NA	NA
"Massawa Restaurant"	"532 Green StSan Francisco, CA 94133"	"(415) 621-4129"	"massawarestaurant.eat24hour.c…"	" Mon , 11:00 am - 10:00 pm Tue , 11:00 am - 10:00 pm Wed , 11:00 am - 10:00 pm Thu , 11:00 am - 10:00 pm Fri , 11:00 am - 11:00 pm Sat , 10:00 am - 11:00 pm Sun , 10:00 am - 10:00 pm"	"No"	"No"	"Yes"	"Yes"	"Yes"	NA	NA	"Lunch, Dinner"	"Street"	"Yes"	"Yes"	"Yes"	"Casual"	"Casual"	"Average"	"No"	"No"	"Free"	"Yes"	"Yes"	"Yes"	"Yes"	NA	NA
"Arizmendi Bakery"	"1268 Valencia StSan Francisco, CA 94110"	"(415) 826-9218"	"arizmendi-valencia.squarespac…"	" Mon , 7:00 am - 7:00 pm Tue , Closed Wed , 7:00 am - 7:00 pm Thu , 7:00 am - 7:00 pm Fri , 7:00 am - 7:00 pm Sat , 8:00 am - 7:00 pm Sun , 8:00 am - 7:00 pm"	"No"	"No"	"Yes"	"Yes"	"No"	"Yes"	NA	"Breakfast, Lunch"	"Street"	"Yes"	"Yes"	"No"	"Casual"	"Casual"	"Average"	"No"	"No"	"No"	"No"	"Yes"	"Yes"	"Yes"	NA	NA
